,season,home_team,away_team,down,game_date,game_half,game_seconds_remaining,play_type,ydstogo,ydsnet
4,2009,PIT,TEN,4.0,2009-09-10,Half1,3507.0,punt,8,2
8,2009,PIT,TEN,4.0,2009-09-10,Half1,3394.0,punt,8,2
14,2009,PIT,TEN,4.0,2009-09-10,Half1,3205.0,punt,21,2
20,2009,PIT,TEN,4.0,2009-09-10,Half1,3108.0,field_goal,7,70
24,2009,PIT,TEN,4.0,2009-09-10,Half1,3002.0,punt,16,-6
41,2009,PIT,TEN,4.0,2009-09-10,Half1,2593.0,punt,22,0
52,2009,PIT,TEN,4.0,2009-09-10,Half1,2245.0,punt,5,33
65,2009,PIT,TEN,4.0,2009-09-10,Half1,1942.0,field_goal,6,60
100,2009,PIT,TEN,4.0,2009-09-10,Half2,1512.0,punt,1,9
104,2009,PIT,TEN,4.0,2009-09-10,Half2,1389.0,punt,11,-1
111,2009,PIT,TEN,4.0,2009-09-10,Half2,1218.0,punt,10,11
119,2009,PIT,TEN,4.0,2009-09-10,Half2,1016.0,punt,11,19
124,2009,PIT,TEN,4.0,2009-09-10,Half2,900.0,punt,2,8
131,2009,PIT,TEN,4.0,2009-09-10,Half2,668.0,field_goal,3,36
145,2009,PIT,TEN,4.0,2009-09-10,Half2,182.0,no_play,1,56
146,2009,PIT,TEN,4.0,2009-09-10,Half2,180.0,field_goal,6,56
153,2009,PIT,TEN,4.0,2009-09-10,Half2,117.0,punt,10,12
191,2009,ATL,MIA,4.0,2009-09-13,Half1,3271.0,field_goal,6,47
199,2009,ATL,MIA,4.0,2009-09-13,Half1,3121.0,punt,18,-8
209,2009,ATL,MIA,4.0,2009-09-13,Half1,2776.0,punt,11,34
232,2009,ATL,MIA,4.0,2009-09-13,Half1,2131.0,punt,6,24
237,2009,ATL,MIA,4.0,2009-09-13,Half1,2047.0,punt,1,9
251,2009,ATL,MIA,4.0,2009-09-13,Half1,1836.0,field_goal,8,13
259,2009,ATL,MIA,4.0,2009-09-13,Half2,1709.0,punt,5,5
263,2009,ATL,MIA,4.0,2009-09-13,Half2,1620.0,punt,1,9
267,2009,ATL,MIA,4.0,2009-09-13,Half2,1507.0,punt,15,-5
271,2009,ATL,MIA,4.0,2009-09-13,Half2,1375.0,punt,6,4
298,2009,ATL,MIA,4.0,2009-09-13,Half2,745.0,field_goal,15,18
302,2009,ATL,MIA,4.0,2009-09-13,Half2,701.0,punt,5,5
310,2009,ATL,MIA,4.0,2009-09-13,Half2,458.0,field_goal,5,38
324,2009,ATL,MIA,4.0,2009-09-13,Half2,250.0,pass,4,67
343,2009,BAL,KC,4.0,2009-09-13,Half1,3527.0,punt,9,1
353,2009,BAL,KC,4.0,2009-09-13,Half1,3323.0,field_goal,12,54
360,2009,BAL,KC,4.0,2009-09-13,Half1,3240.0,punt,15,-5
379,2009,BAL,KC,4.0,2009-09-13,Half1,2755.0,punt,1,9
386,2009,BAL,KC,4.0,2009-09-13,Half1,2610.0,punt,3,7
390,2009,BAL,KC,4.0,2009-09-13,Half1,2500.0,punt,5,5
394,2009,BAL,KC,4.0,2009-09-13,Half1,2409.0,punt,3,7
409,2009,BAL,KC,4.0,2009-09-13,Half1,2034.0,field_goal,4,58
420,2009,BAL,KC,4.0,2009-09-13,Half1,1801.0,pass,9,41
455,2009,BAL,KC,4.0,2009-09-13,Half2,1000.0,no_play,1,4
456,2009,BAL,KC,4.0,2009-09-13,Half2,989.0,punt,6,4
462,2009,BAL,KC,4.0,2009-09-13,Half2,896.0,punt,10,11
469,2009,BAL,KC,4.0,2009-09-13,Half2,722.0,field_goal,11,55
507,2009,BAL,KC,4.0,2009-09-13,Half2,99.0,pass,18,-12
514,2009,BAL,KC,4.0,2009-09-13,Half2,36.0,run,1,9
536,2009,CAR,PHI,4.0,2009-09-13,Half1,3195.0,run,1,69
550,2009,CAR,PHI,4.0,2009-09-13,Half1,2923.0,punt,2,27
557,2009,CAR,PHI,4.0,2009-09-13,Half1,2753.0,field_goal,9,1
570,2009,CAR,PHI,4.0,2009-09-13,Half1,2474.0,punt,15,8
581,2009,CAR,PHI,4.0,2009-09-13,Half1,2276.0,punt,11,-1
606,2009,CAR,PHI,4.0,2009-09-13,Half1,1905.0,field_goal,4,56
616,2009,CAR,PHI,4.0,2009-09-13,Half1,1830.0,punt,7,33
644,2009,CAR,PHI,4.0,2009-09-13,Half2,1178.0,punt,5,16
648,2009,CAR,PHI,4.0,2009-09-13,Half2,1126.0,no_play,5,11
652,2009,CAR,PHI,4.0,2009-09-13,Half2,1089.0,punt,8,13
664,2009,CAR,PHI,4.0,2009-09-13,Half2,831.0,punt,26,-16
668,2009,CAR,PHI,4.0,2009-09-13,Half2,732.0,punt,6,4
674,2009,CAR,PHI,4.0,2009-09-13,Half2,644.0,pass,3,13
679,2009,CAR,PHI,4.0,2009-09-13,Half2,477.0,field_goal,14,9
688,2009,CAR,PHI,4.0,2009-09-13,Half2,264.0,pass,1,0
696,2009,CAR,PHI,4.0,2009-09-13,Half2,120.0,pass,1,35
704,2009,CAR,PHI,4.0,2009-09-13,Half2,39.0,run,1,51
713,2009,CIN,DEN,4.0,2009-09-13,Half1,3471.0,punt,9,23
722,2009,CIN,DEN,4.0,2009-09-13,Half1,3228.0,punt,10,41
726,2009,CIN,DEN,4.0,2009-09-13,Half1,3143.0,punt,5,5
731,2009,CIN,DEN,4.0,2009-09-13,Half1,3016.0,run,2,6
736,2009,CIN,DEN,4.0,2009-09-13,Half1,2811.0,run,2,6
740,2009,CIN,DEN,4.0,2009-09-13,Half1,2717.0,punt,11,-1
747,2009,CIN,DEN,4.0,2009-09-13,Half1,2622.0,punt,14,30
751,2009,CIN,DEN,4.0,2009-09-13,Half1,2530.0,punt,6,4
764,2009,CIN,DEN,4.0,2009-09-13,Half1,2119.0,punt,2,8
772,2009,CIN,DEN,4.0,2009-09-13,Half1,1915.0,punt,4,19
792,2009,CIN,DEN,4.0,2009-09-13,Half2,1668.0,punt,7,17
797,2009,CIN,DEN,4.0,2009-09-13,Half2,1515.0,punt,7,3
801,2009,CIN,DEN,4.0,2009-09-13,Half2,1413.0,punt,20,-10
810,2009,CIN,DEN,4.0,2009-09-13,Half2,1163.0,no_play,2,34
811,2009,CIN,DEN,4.0,2009-09-13,Half2,1163.0,punt,7,34
815,2009,CIN,DEN,4.0,2009-09-13,Half2,1061.0,punt,1,9
820,2009,CIN,DEN,4.0,2009-09-13,Half2,919.0,field_goal,5,34
827,2009,CIN,DEN,4.0,2009-09-13,Half2,812.0,punt,2,8
841,2009,CIN,DEN,4.0,2009-09-13,Half2,389.0,punt,23,23
872,2009,CLE,MIN,4.0,2009-09-13,Half1,3393.0,field_goal,8,31
877,2009,CLE,MIN,4.0,2009-09-13,Half1,3273.0,punt,10,0
882,2009,CLE,MIN,4.0,2009-09-13,Half1,3125.0,punt,14,-4
894,2009,CLE,MIN,4.0,2009-09-13,Half1,2706.0,field_goal,3,46
900,2009,CLE,MIN,4.0,2009-09-13,Half1,2591.0,punt,14,-4
916,2009,CLE,MIN,4.0,2009-09-13,Half1,2160.0,field_goal,2,73
921,2009,CLE,MIN,4.0,2009-09-13,Half1,2053.0,punt,1,9
926,2009,CLE,MIN,4.0,2009-09-13,Half1,1950.0,punt,5,5
932,2009,CLE,MIN,4.0,2009-09-13,Half1,1906.0,punt,6,4
937,2009,CLE,MIN,4.0,2009-09-13,Half1,1871.0,punt,2,8
984,2009,CLE,MIN,4.0,2009-09-13,Half2,803.0,punt,13,30
989,2009,CLE,MIN,4.0,2009-09-13,Half2,715.0,punt,6,16
1000,2009,CLE,MIN,4.0,2009-09-13,Half2,419.0,field_goal,18,14
1006,2009,CLE,MIN,4.0,2009-09-13,Half2,381.0,punt,7,3
1015,2009,CLE,MIN,4.0,2009-09-13,Half2,292.0,pass,10,17
1019,2009,CLE,MIN,4.0,2009-09-13,Half2,192.0,punt,9,1
1043,2009,HOU,NYJ,4.0,2009-09-13,Half1,3418.0,punt,12,18
1047,2009,HOU,NYJ,4.0,2009-09-13,Half1,3320.0,punt,5,5
1051,2009,HOU,NYJ,4.0,2009-09-13,Half1,3224.0,punt,7,3
1070,2009,HOU,NYJ,4.0,2009-09-13,Half1,2712.0,no_play,5,68
1078,2009,HOU,NYJ,4.0,2009-09-13,Half1,2609.0,punt,6,15
1083,2009,HOU,NYJ,4.0,2009-09-13,Half1,2554.0,punt,3,7
1111,2009,HOU,NYJ,4.0,2009-09-13,Half1,1871.0,punt,2,8
1116,2009,HOU,NYJ,4.0,2009-09-13,Half1,1802.0,pass,2,33
1137,2009,HOU,NYJ,4.0,2009-09-13,Half2,1295.0,punt,11,-1
1141,2009,HOU,NYJ,4.0,2009-09-13,Half2,1227.0,punt,7,3
1146,2009,HOU,NYJ,4.0,2009-09-13,Half2,1117.0,pass,2,35
1151,2009,HOU,NYJ,4.0,2009-09-13,Half2,962.0,punt,4,6
1159,2009,HOU,NYJ,4.0,2009-09-13,Half2,879.0,punt,23,9
1193,2009,HOU,NYJ,4.0,2009-09-13,Half2,120.0,run,1,61
1219,2009,IND,JAX,4.0,2009-09-13,Half1,2968.0,punt,5,37
1243,2009,IND,JAX,4.0,2009-09-13,Half1,2342.0,field_goal,6,59
1268,2009,IND,JAX,4.0,2009-09-13,Half1,1864.0,field_goal,6,41
1275,2009,IND,JAX,4.0,2009-09-13,Half1,1808.0,pass,1,9
1284,2009,IND,JAX,4.0,2009-09-13,Half2,1660.0,punt,6,27
1302,2009,IND,JAX,4.0,2009-09-13,Half2,1239.0,punt,5,5
1306,2009,IND,JAX,4.0,2009-09-13,Half2,1145.0,punt,1,9
1311,2009,IND,JAX,4.0,2009-09-13,Half2,1088.0,punt,12,-2
1315,2009,IND,JAX,4.0,2009-09-13,Half2,1002.0,field_goal,10,0
1328,2009,IND,JAX,4.0,2009-09-13,Half2,672.0,run,2,58
1338,2009,IND,JAX,4.0,2009-09-13,Half2,428.0,punt,2,36
1342,2009,IND,JAX,4.0,2009-09-13,Half2,325.0,punt,1,9
1350,2009,IND,JAX,4.0,2009-09-13,Half2,126.0,run,1,32
1354,2009,IND,JAX,4.0,2009-09-13,Half2,83.0,pass,8,2
1371,2009,NO,DET,4.0,2009-09-13,Half1,3351.0,punt,5,5
1385,2009,NO,DET,4.0,2009-09-13,Half1,3018.0,field_goal,5,51
1391,2009,NO,DET,4.0,2009-09-13,Half1,2929.0,punt,3,7
