,season,home_team,away_team,down,game_date,game_half,game_seconds_remaining,play_type,ydstogo,ydsnet
191,2009,ATL,MIA,4.0,2009-09-13,Half1,3271.0,field_goal,6,47
199,2009,ATL,MIA,4.0,2009-09-13,Half1,3121.0,punt,18,-8
209,2009,ATL,MIA,4.0,2009-09-13,Half1,2776.0,punt,11,34
232,2009,ATL,MIA,4.0,2009-09-13,Half1,2131.0,punt,6,24
237,2009,ATL,MIA,4.0,2009-09-13,Half1,2047.0,punt,1,9
251,2009,ATL,MIA,4.0,2009-09-13,Half1,1836.0,field_goal,8,13
259,2009,ATL,MIA,4.0,2009-09-13,Half2,1709.0,punt,5,5
263,2009,ATL,MIA,4.0,2009-09-13,Half2,1620.0,punt,1,9
267,2009,ATL,MIA,4.0,2009-09-13,Half2,1507.0,punt,15,-5
271,2009,ATL,MIA,4.0,2009-09-13,Half2,1375.0,punt,6,4
298,2009,ATL,MIA,4.0,2009-09-13,Half2,745.0,field_goal,15,18
302,2009,ATL,MIA,4.0,2009-09-13,Half2,701.0,punt,5,5
310,2009,ATL,MIA,4.0,2009-09-13,Half2,458.0,field_goal,5,38
324,2009,ATL,MIA,4.0,2009-09-13,Half2,250.0,pass,4,67
2755,2009,ATL,CAR,4.0,2009-09-20,Half1,3293.0,field_goal,7,60
2762,2009,ATL,CAR,4.0,2009-09-20,Half1,3160.0,punt,7,13
2766,2009,ATL,CAR,4.0,2009-09-20,Half1,3102.0,punt,9,1
2779,2009,ATL,CAR,4.0,2009-09-20,Half1,2806.0,punt,16,11
2819,2009,ATL,CAR,4.0,2009-09-20,Half1,1914.0,field_goal,10,48
2849,2009,ATL,CAR,4.0,2009-09-20,Half2,1436.0,run,1,67
2864,2009,ATL,CAR,4.0,2009-09-20,Half2,973.0,run,1,27
2892,2009,ATL,CAR,4.0,2009-09-20,Half2,346.0,punt,9,1
2903,2009,ATL,CAR,4.0,2009-09-20,Half2,164.0,pass,10,51
2914,2009,ATL,CAR,4.0,2009-09-20,Half2,41.0,punt,1,19
15312,2009,ATL,CHI,4.0,2009-10-18,Half1,3543.0,punt,9,1
15330,2009,ATL,CHI,4.0,2009-10-18,Half1,3010.0,punt,1,9
15336,2009,ATL,CHI,4.0,2009-10-18,Half1,2852.0,punt,1,9
15340,2009,ATL,CHI,4.0,2009-10-18,Half1,2750.0,punt,10,0
15353,2009,ATL,CHI,4.0,2009-10-18,Half1,2538.0,punt,16,4
15370,2009,ATL,CHI,4.0,2009-10-18,Half1,2123.0,punt,10,17
15398,2009,ATL,CHI,4.0,2009-10-18,Half2,1590.0,punt,4,17
15405,2009,ATL,CHI,4.0,2009-10-18,Half2,1404.0,punt,4,6
15410,2009,ATL,CHI,4.0,2009-10-18,Half2,1346.0,punt,5,5
15438,2009,ATL,CHI,4.0,2009-10-18,Half2,606.0,no_play,4,67
15478,2009,ATL,CHI,4.0,2009-10-18,Half2,34.0,no_play,1,78
15479,2009,ATL,CHI,4.0,2009-10-18,Half2,34.0,pass,6,78
20160,2009,ATL,WAS,4.0,2009-11-08,Half1,3323.0,no_play,1,70
20168,2009,ATL,WAS,4.0,2009-11-08,Half1,3151.0,punt,17,-7
20172,2009,ATL,WAS,4.0,2009-11-08,Half1,3036.0,no_play,4,6
20189,2009,ATL,WAS,4.0,2009-11-08,Half1,2685.0,punt,10,13
20198,2009,ATL,WAS,4.0,2009-11-08,Half1,2394.0,punt,8,15
20205,2009,ATL,WAS,4.0,2009-11-08,Half1,2162.0,field_goal,12,52
20218,2009,ATL,WAS,4.0,2009-11-08,Half1,1949.0,punt,16,-6
20236,2009,ATL,WAS,4.0,2009-11-08,Half1,1805.0,field_goal,9,66
20251,2009,ATL,WAS,4.0,2009-11-08,Half2,1334.0,run,1,80
20257,2009,ATL,WAS,4.0,2009-11-08,Half2,1209.0,punt,1,9
20291,2009,ATL,WAS,4.0,2009-11-08,Half2,372.0,pass,1,34
20297,2009,ATL,WAS,4.0,2009-11-08,Half2,205.0,punt,12,-2
20302,2009,ATL,WAS,4.0,2009-11-08,Half2,154.0,pass,2,33
28414,2009,ATL,TB,4.0,2009-11-29,Half1,3335.0,punt,10,21
28428,2009,ATL,TB,4.0,2009-11-29,Half1,2897.0,punt,14,42
28436,2009,ATL,TB,4.0,2009-11-29,Half1,2723.0,no_play,2,31
28448,2009,ATL,TB,4.0,2009-11-29,Half1,2449.0,field_goal,16,53
28453,2009,ATL,TB,4.0,2009-11-29,Half1,2365.0,punt,2,8
28469,2009,ATL,TB,4.0,2009-11-29,Half1,2039.0,punt,14,-4
28479,2009,ATL,TB,4.0,2009-11-29,Half1,1824.0,no_play,11,45
28480,2009,ATL,TB,4.0,2009-11-29,Half1,1824.0,field_goal,16,45
28489,2009,ATL,TB,4.0,2009-11-29,Half2,1676.0,punt,2,23
28493,2009,ATL,TB,4.0,2009-11-29,Half2,1620.0,punt,9,1
28506,2009,ATL,TB,4.0,2009-11-29,Half2,1305.0,field_goal,7,50
28512,2009,ATL,TB,4.0,2009-11-29,Half2,1210.0,punt,15,-5
28524,2009,ATL,TB,4.0,2009-11-29,Half2,900.0,punt,5,28
28528,2009,ATL,TB,4.0,2009-11-29,Half2,841.0,punt,9,1
28532,2009,ATL,TB,4.0,2009-11-29,Half2,779.0,pass,8,2
28537,2009,ATL,TB,4.0,2009-11-29,Half2,659.0,punt,6,19
28542,2009,ATL,TB,4.0,2009-11-29,Half2,517.0,punt,23,5
28546,2009,ATL,TB,4.0,2009-11-29,Half2,441.0,pass,4,15
28550,2009,ATL,TB,4.0,2009-11-29,Half2,403.0,field_goal,10,15
28563,2009,ATL,TB,4.0,2009-11-29,Half2,154.0,field_goal,4,34
28582,2009,ATL,TB,4.0,2009-11-29,Half2,26.0,pass,5,59
30823,2009,ATL,PHI,4.0,2009-12-06,Half1,3549.0,punt,5,5
30834,2009,ATL,PHI,4.0,2009-12-06,Half1,3276.0,field_goal,6,44
30852,2009,ATL,PHI,4.0,2009-12-06,Half1,2900.0,punt,13,26
30861,2009,ATL,PHI,4.0,2009-12-06,Half1,2730.0,field_goal,6,71
30868,2009,ATL,PHI,4.0,2009-12-06,Half1,2582.0,punt,6,27
30874,2009,ATL,PHI,4.0,2009-12-06,Half1,2461.0,punt,6,37
30878,2009,ATL,PHI,4.0,2009-12-06,Half1,2378.0,punt,7,3
30884,2009,ATL,PHI,4.0,2009-12-06,Half1,2291.0,field_goal,10,56
30891,2009,ATL,PHI,4.0,2009-12-06,Half1,2206.0,punt,6,39
30895,2009,ATL,PHI,4.0,2009-12-06,Half1,2132.0,punt,13,-3
30899,2009,ATL,PHI,4.0,2009-12-06,Half1,2041.0,pass,4,12
30910,2009,ATL,PHI,4.0,2009-12-06,Half1,1821.0,run,2,44
30919,2009,ATL,PHI,4.0,2009-12-06,Half2,1650.0,run,1,35
30935,2009,ATL,PHI,4.0,2009-12-06,Half2,1259.0,pass,2,43
30940,2009,ATL,PHI,4.0,2009-12-06,Half2,1133.0,pass,5,48
30964,2009,ATL,PHI,4.0,2009-12-06,Half2,698.0,punt,10,0
30972,2009,ATL,PHI,4.0,2009-12-06,Half2,380.0,no_play,1,28
30973,2009,ATL,PHI,4.0,2009-12-06,Half2,378.0,,6,28
30974,2009,ATL,PHI,4.0,2009-12-06,Half2,378.0,punt,6,28
33661,2009,ATL,NO,4.0,2009-12-13,Half1,3331.0,field_goal,8,57
33670,2009,ATL,NO,4.0,2009-12-13,Half1,3063.0,field_goal,6,65
33680,2009,ATL,NO,4.0,2009-12-13,Half1,2736.0,field_goal,2,68
33701,2009,ATL,NO,4.0,2009-12-13,Half1,2257.0,punt,8,13
33732,2009,ATL,NO,4.0,2009-12-13,Half1,1804.0,field_goal,4,72
33762,2009,ATL,NO,4.0,2009-12-13,Half2,1106.0,punt,1,24
33793,2009,ATL,NO,4.0,2009-12-13,Half2,286.0,field_goal,20,63
33803,2009,ATL,NO,4.0,2009-12-13,Half2,131.0,pass,7,17
33813,2009,ATL,NO,4.0,2009-12-13,Half2,78.0,pass,2,40
39232,2009,ATL,BUF,4.0,2009-12-27,Half1,3488.0,punt,15,-5
39240,2009,ATL,BUF,4.0,2009-12-27,Half1,3383.0,punt,3,7
39249,2009,ATL,BUF,4.0,2009-12-27,Half1,3169.0,punt,10,31
39255,2009,ATL,BUF,4.0,2009-12-27,Half1,3007.0,punt,1,20
39271,2009,ATL,BUF,4.0,2009-12-27,Half1,2669.0,field_goal,33,47
39279,2009,ATL,BUF,4.0,2009-12-27,Half1,2538.0,punt,4,16
39285,2009,ATL,BUF,4.0,2009-12-27,Half1,2413.0,punt,8,12
39295,2009,ATL,BUF,4.0,2009-12-27,Half1,2178.0,punt,8,7
39309,2009,ATL,BUF,4.0,2009-12-27,Half1,1909.0,punt,3,57
39330,2009,ATL,BUF,4.0,2009-12-27,Half2,1651.0,punt,9,39
39334,2009,ATL,BUF,4.0,2009-12-27,Half2,1563.0,punt,8,2
39339,2009,ATL,BUF,4.0,2009-12-27,Half2,1466.0,pass,12,12
39358,2009,ATL,BUF,4.0,2009-12-27,Half2,1023.0,field_goal,4,53
39367,2009,ATL,BUF,4.0,2009-12-27,Half2,834.0,pass,4,37
39372,2009,ATL,BUF,4.0,2009-12-27,Half2,712.0,punt,14,-4
39381,2009,ATL,BUF,4.0,2009-12-27,Half2,396.0,pass,1,71
39394,2009,ATL,BUF,4.0,2009-12-27,Half2,73.0,run,1,11
